Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover (%)
2008,NJ81,Grey,Grey,57.19446009,-2.177702795,79,0.156304331
2008,NJ81,Red,Red,57.21967693,-2.2550605,14,0.156304331
2008,NJ82,Grey,Grey,57.31941775,-2.27334875,4,0.070620342
2008,NJ82,Red,Red,57.3102285,-2.207888,6,0.070620342
2008,NJ83,Grey,Grey,57.3858725,-2.228691,2,0.116073865
2008,NJ83,Red,Red,57.41003863,-2.243118188,23,0.116073865
2008,NJ84,Red,Red,57.460487,-2.267247,2,0.065000952
2008,NJ90,Grey,Grey,57.12360603,-2.148767718,277,0.053831489
2008,NJ90,Red,Red,57.176715,-2.128164,2,0.053831489
2008,NJ91,Grey,Grey,57.20246567,-2.1271635,12,0.063795747
2008,NJ91,Red,Red,57.20835225,-2.15269325,7,0.063795747
2008,NJ93,Red,Red,57.36784455,-2.080013182,21,0.093215859
2008,NM66,Red,Red,56.72828725,-5.82921225,6,0.186151448
2008,NM70,Red,Red,56.209311,-5.556261,1,0.068410444
2008,NM76,Red,Red,56.717138,-5.715288,1,0.288137822
2008,NM77,Red,Red,56.786818,-5.730373,1,0.068931735
2008,NM82,Red,Red,56.41064733,-5.463141333,4,0.286044416
2008,NM83,Red,Red,56.42641467,-5.467280333,8,0.076375553
2008,NM91,Red,Red,56.263696,-5.280221,1,0.587993901
2008,NM93,Red,Red,56.442701,-5.276165,1,0.341472473
2008,NM94,Red,Red,56.520854,-5.312187,1,0.32751221
2008,NM95,Red,Red,56.63746,-5.288151,2,0.145987738
2008,NN00,Red,Red,56.1753355,-5.129362,2,0.544649386
2008,NN03,Red,Red,56.429286,-5.239318,1,0.259587687
2008,NN04,Red,Red,56.568773,-5.2162425,3,0.140623869
2008,NN05,Red,Red,56.68326533,-5.162571,3,0.373475293
2008,NN06,Red,Red,56.70458471,-5.195959143,15,0.299504326
2008,NN10,Red,Red,56.167095,-4.9014,1,0.436012357
2008,NN12,Red,Red,56.3795205,-5.020386,2,0.273429313
2008,NN16,Red,Red,56.71467888,-4.969813125,15,0.253802358
2008,NN17,Red,Red,56.8192484,-5.0758968,5,0.310964359
2008,NN19,Grey,Grey,57.030375,-5.091194,4,0.216059404
2008,NN19,Red,Red,57.030375,-5.091194,1,0.216059404
2008,NN20,Red,Red,56.172592,-4.896981,2,0.275774059
2008,NN28,Red,Red,56.932572,-4.954034,1,0.281580597
2008,NN30,Red,Red,56.20462433,-4.713409333,3,0.239134176
2008,NN40,Red,Red,56.18588024,-4.45416888,29,0.477586155
2008,NN50,Grey,Grey,56.172852,-4.379808,2,0.527976203
2008,NN50,Red,Red,56.18353143,-4.372984905,47,0.527976203
2008,NN51,Red,Red,56.32484211,-4.332291222,39,0.388966588
2008,NN52,Red,Red,56.3649415,-4.344807,5,0.240160195
2008,NN53,Red,Red,56.521231,-4.349587,2,0.179746914
2008,NN57,Red,Red,56.883675,-4.334539,1,0.055124455
2008,NN60,Grey,Grey,56.23512183,-4.220950333,30,0.317673331
2008,NN60,Red,Red,56.23308325,-4.205955125,16,0.317673331
2008,NN61,Red,Red,56.264317,-4.196546,1,0.038960964
2008,NN62,Grey,Grey,56.394126,-4.148117,2,0.084119623
2008,NN62,Red,Red,56.39021286,-4.147781714,11,0.084119623
2008,NN65,Red,Red,56.69590467,-4.165831167,14,0.174978655
2008,NN69,Red,Red,57.02503667,-4.220360667,4,0.199188536
2008,NN70,Grey,Grey,56.18623457,-3.992947571,15,0.30401815
2008,NN70,Red,Red,56.1880634,-3.9854998,9,0.30401815
2008,NN71,Red,Red,56.302726,-3.941742,1,0.081389721
2008,NN72,Red,Red,56.370172,-4.0228935,2,0.229398951
2008,NN74,Grey,Grey,56.595895,-3.984449,1,0.324498172
2008,NN74,Red,Red,56.58973,-3.9877006,6,0.324498172
2008,NN75,Red,Red,56.7007645,-4.028343,2,0.293447326
2008,NN76,Red,Red,56.7977805,-4.016806,2,0.418117602
2008,NN79,Red,Red,57.05478825,-4.1243015,9,0.190591006
2008,NN80,Grey,Grey,56.2371905,-3.908554,2,0.137126195
2008,NN80,Red,Red,56.2374068,-3.9003406,7,0.137126195
2008,NN81,Red,Red,56.33395275,-3.875992375,8,0.236147944
2008,NN82,Grey,Grey,56.3837395,-3.84421975,6,0.14397231
2008,NN82,Red,Red,56.3865545,-3.83625625,4,0.14397231
2008,NN84,Red,Red,56.61180438,-3.8745805,14,0.331220158
2008,NN85,Grey,Grey,56.641366,-3.831911,2,0.244975569
2008,NN85,Red,Red,56.6410365,-3.82373925,10,0.244975569
2008,NN86,Red,Red,56.76829883,-3.880500278,64,0.422130941
2008,NN90,Red,Red,56.231681,-3.678427,4,0.237428375
2008,NN91,Grey,Grey,56.2938555,-3.688397,2,0.171364837
2008,NN91,Red,Red,56.30880517,-3.690101333,14,0.171364837
2008,NN92,Grey,Grey,56.434346,-3.731114,1,0.211420781
2008,NN92,Red,Red,56.42648889,-3.695885556,15,0.211420781
2008,NN93,Red,Red,56.535816,-3.7190725,2,0.059898243
2008,NN95,Grey,Grey,56.704032,-3.722246,1,0.421215582
2008,NN95,Red,Red,56.68701641,-3.736078704,53,0.421215582
2008,NN96,Red,Red,56.73788675,-3.774887,7,0.114435342
2008,NN97,Red,Red,56.849686,-3.747791,1,0.00975876
2008,NO00,Red,Red,56.23105175,-3.5061365,5,0.325315484
2008,NO01,Red,Red,56.357038,-3.528527,3,0.233963337
2008,NO02,Grey,Grey,56.42626775,-3.535787,25,0.218594493
2008,NO02,Red,Red,56.43424567,-3.56895,13,0.218594493
2008,NO03,Grey,Grey,56.48135133,-3.574620667,5,0.201753146
2008,NO03,Red,Red,56.47436271,-3.538579714,9,0.201753146
2008,NO04,Grey,Grey,56.5700015,-3.563416333,8,0.369788833
2008,NO04,Red,Red,56.5819954,-3.562068667,21,0.369788833
2008,NO05,Red,Red,56.720863,-3.4975045,3,0.128524074
2008,NO06,Grey,Grey,56.740793,-3.521187,1,0.193679366
2008,NO06,Red,Red,56.723928,-3.504163,2,0.193679366
2008,NO10,Grey,Grey,56.201224,-3.407875,3,0.076759514
2008,NO10,Red,Red,56.21822167,-3.360142667,4,0.076759514
2008,NO11,Grey,Grey,56.345938,-3.403494,2,0.153796274
2008,NO11,Red,Red,56.3230667,-3.350769,17,0.153796274
2008,NO12,Grey,Grey,56.40622145,-3.417646273,27,0.164696499
2008,NO12,Red,Red,56.40071529,-3.400536571,10,0.164696499
2008,NO13,Grey,Grey,56.483292,-3.413464,5,0.190279153
2008,NO13,Red,Red,56.5055174,-3.4184998,6,0.190279153
2008,NO14,Grey,Grey,56.5792618,-3.3639244,8,0.136384102
2008,NO14,Red,Red,56.58066227,-3.359710091,18,0.136384102
2008,NO15,Red,Red,56.66173933,-3.444581333,5,0.245170626
2008,NO16,Red,Red,56.72785,-3.316365,4,0.090105103
2008,NO19,Red,Red,57.00720636,-3.396719364,19,0.203243873
2008,NO20,Grey,Grey,56.2281255,-3.17429,2,0.150020785
2008,NO20,Red,Red,56.22305075,-3.16674725,5,0.150020785
2008,NO21,Grey,Grey,56.363958,-3.135446,3,0.13967205
2008,NO21,Red,Red,56.312123,-3.212864,18,0.13967205
2008,NO22,Red,Red,56.430897,-3.22946175,4,0.067207426
2008,NO23,Grey,Grey,56.478967,-3.20545075,6,0.177162768
2008,NO23,Red,Red,56.50020043,-3.216250429,11,0.177162768
2008,NO24,Grey,Grey,56.58492725,-3.17616225,7,0.084138221
2008,NO24,Red,Red,56.56734867,-3.184218,11,0.084138221
2008,NO25,Grey,Grey,56.668535,-3.1837555,4,0.208072609
2008,NO25,Red,Red,56.676773,-3.19135675,5,0.208072609
2008,NO27,Grey,Grey,56.820378,-3.229499,1,0.109615141
2008,NO27,Red,Red,56.847936,-3.2582545,3,0.109615141
2008,NO29,Red,Red,57.04030733,-3.217529333,11,0.263151057
2008,NO30,Red,Red,56.225933,-3.097489,1,0.100008326
2008,NO31,Red,Red,56.2983365,-3.105489667,7,0.09870466
2008,NO32,Grey,Grey,56.397065,-3.048945,2,0.062492866
2008,NO32,Red,Red,56.39828567,-3.046278667,8,0.062492866
2008,NO33,Grey,Grey,56.47690463,-3.05632475,10,0.106139225
2008,NO33,Red,Red,56.49349211,-3.053151737,44,0.106139225
2008,NO34,Red,Red,56.5947938,-3.018572,5,0.107557369
2008,NO35,Grey,Grey,56.65594575,-3.00596525,17,0.112913192
2008,NO35,Red,Red,56.67709408,-3.024813769,20,0.112913192
2008,NO36,Grey,Grey,56.739565,-3.025775,2,0.159996286
2008,NO36,Red,Red,56.7530585,-3.023689,3,0.159996286
2008,NO38,Red,Red,56.96719667,-3.125764667,3,0.038427435
2008,NO39,Red,Red,57.05365625,-3.040603375,12,0.377846937
2008,NO40,Grey,Grey,56.241644,-2.934973,1,0.10475566
2008,NO40,Red,Red,56.220555,-2.869954,1,0.10475566
2008,NO41,Red,Red,56.308852,-2.8953525,2,0.065521543
2008,NO42,Grey,Grey,56.393397,-2.820436,1,0.220115118
2008,NO42,Red,Red,56.4266455,-2.9514243,14,0.220115118
2008,NO43,Grey,Grey,56.49087329,-2.830434714,8,0.044310792
2008,NO44,Grey,Grey,56.623926,-2.874325,1,0.104656114
2008,NO44,Red,Red,56.60976086,-2.880515429,9,0.104656114
2008,NO45,Grey,Grey,56.641857,-2.879631,1,0.094206324
2008,NO45,Red,Red,56.6796808,-2.8911169,19,0.094206324
2008,NO46,Red,Red,56.74781217,-2.843953,8,0.092299112
2008,NO49,Red,Red,57.07169875,-2.9432315,8,0.421568064
2008,NO51,Red,Red,56.321112,-2.742893,1,0.031802716
2008,NO52,Red,Red,56.452249,-2.748696,1,0.007416706
2008,NO53,Grey,Grey,56.51127033,-2.744446333,3,0.06448071
2008,NO53,Red,Red,56.52973025,-2.7859935,4,0.06448071
2008,NO54,Red,Red,56.6205175,-2.753935833,6,0.075704654
2008,NO55,Red,Red,56.67852235,-2.71216915,113,0.207330037
2008,NO56,Red,Red,56.75570267,-2.678686833,9,0.100565871
2008,NO57,Red,Red,56.86987233,-2.719327333,3,0.062725992
2008,NO59,Grey,Grey,57.05013414,-2.735022,7,0.460101536
2008,NO59,Red,Red,57.0668097,-2.7821366,20,0.460101536
2008,NO64,Red,Red,56.572472,-2.614760417,22,0.053825962
2008,NO65,Red,Red,56.6974218,-2.6363153,10,0.10541475
2008,NO66,Red,Red,56.788142,-2.6209864,14,0.143553007
2008,NO67,Red,Red,56.83258025,-2.55961025,7,0.188164163
2008,NO68,Red,Red,56.951015,-2.543337,3,0.323629445
2008,NO69,Grey,Grey,57.04115533,-2.507544545,33,0.470068188
2008,NO69,Red,Red,57.05424889,-2.532962556,27,0.470068188
2008,NO75,Red,Red,56.725838,-2.468152,1,0.004754513
2008,NO76,Red,Red,56.76523825,-2.44123625,6,0.067954718
2008,NO77,Red,Red,56.86684683,-2.465235667,18,0.092430382
2008,NO79,Grey,Grey,57.05141717,-2.437633943,66,0.391035075
2008,NO79,Red,Red,57.05922057,-2.411396143,34,0.391035075
2008,NO88,Red,Red,56.98243,-2.2755855,2,0.142319313
2008,NO89,Grey,Grey,57.08149531,-2.223086503,197,0.163921579
2008,NO89,Red,Red,57.0811645,-2.315074,3,0.163921579
2008,NO99,Grey,Grey,57.0262135,-2.1589415,2,0.011242201
2008,NR78,Red,Red,56.038148,-5.567787,4,0.31348186
2008,NR82,Red,Red,55.50342,-5.335458,1,0.000464826
2008,NR86,Red,Red,55.861246,-5.428167,8,0.488927412
2008,NR87,Red,Red,55.923673,-5.419539,1,0.262613914
2008,NR88,Red,Red,55.9970115,-5.452197,4,0.524428963
2008,NR92,Red,Red,55.509133,-5.188606,1,0.267710506
2008,NR93,Red,Red,55.554981,-5.290659,1,0.195408527
2008,NR97,Red,Red,55.911466,-5.227981333,8,0.407043845
2008,NR98,Red,Red,56.003869,-5.314308,1,0.460659017
2008,NR99,Red,Red,56.076987,-5.336664,2,0.505284241
2008,NS02,Red,Red,55.502235,-5.107268,16,0.250149616
2008,NS03,Red,Red,55.56568081,-5.143935083,59,0.173892761
2008,NS04,Red,Red,55.65629825,-5.151476,4,0.046610054
2008,NS09,Red,Red,56.1213674,-5.1033,7,0.502587072
2008,NS17,Red,Red,55.95107679,-4.937223474,34,0.391525693
2008,NS18,Grey,Grey,56.008983,-4.972962,1,0.45044691
2008,NS18,Red,Red,56.04933338,-4.920711942,62,0.45044691
2008,NS19,Grey,Grey,56.101244,-4.986508,1,0.452284672
2008,NS19,Red,Red,56.12794976,-5.026382824,90,0.452284672
2008,NS20,Grey,Grey,55.3086738,-4.7793384,8,0.193197788
2008,NS20,Red,Red,55.271778,-4.705034,1,0.193197788
2008,NS21,Grey,Grey,55.354876,-4.687034,4,0.060616839
2008,NS25,Grey,Grey,55.788868,-4.854054,1,0.118504346
2008,NS28,Red,Red,56.066635,-4.892236,3,0.173357668
2008,NS30,Grey,Grey,55.3224125,-4.60839,3,0.297983353
2008,NS30,Red,Red,55.2924014,-4.582318,5,0.297983353
2008,NS31,Grey,Grey,55.40832467,-4.607627222,27,0.091125636
2008,NS32,Grey,Grey,55.47281646,-4.598402462,17,0.036765705
2008,NS33,Grey,Grey,55.603213,-4.648426667,4,0.065214234
2008,NS34,Grey,Grey,55.635394,-4.642658,5,0.093882211
2008,NS38,Grey,Grey,56.0092234,-4.6086126,142,0.234114961
2008,NS39,Red,Red,56.120942,-4.592199,1,0.201398578
2008,NS40,Grey,Grey,55.311036,-4.419301,3,0.278346889
2008,NS42,Grey,Grey,55.47347,-4.521028,1,0.078632065
2008,NS43,Grey,Grey,55.571882,-4.40994,1,0.047898243
2008,NS44,Grey,Grey,55.68176033,-4.5108195,13,0.115543379
2008,NS45,Grey,Grey,55.753931,-4.430722,10,0.113400857
2008,NS46,Grey,Grey,55.87287,-4.4381675,2,0.126261841
2008,NS47,Grey,Grey,55.9326455,-4.481972,6,0.21642903
2008,NS47,Red,Red,55.912521,-4.410235,1,0.21642903
2008,NS49,Grey,Grey,56.076768,-4.55548,1,0.480460827
2008,NS49,Red,Red,56.1434,-4.483435,3,0.480460827
2008,NS51,Grey,Grey,55.42052444,-4.287820556,13,0.241557983
2008,NS52,Grey,Grey,55.514758,-4.295563,3,0.154387766
2008,NS53,Grey,Grey,55.60535871,-4.297907429,31,0.147867661
2008,NS55,Grey,Grey,55.807018,-4.287208,5,0.0645833
2008,NS56,Grey,Grey,55.85398843,-4.308690143,14,0.064706874
2008,NS57,Grey,Grey,55.9313725,-4.317744,5,0.186779461
2008,NS59,Red,Red,56.1607316,-4.3458874,10,0.342263416
2008,NS61,Grey,Grey,55.38846275,-4.1859995,12,0.117161434
2008,NS65,Grey,Grey,55.753151,-4.185247,1,0.120713864
2008,NS66,Grey,Grey,55.818891,-4.177757,2,0.105119157
2008,NS69,Grey,Grey,56.11819155,-4.156390455,20,0.126435046
2008,NS69,Red,Red,56.1132115,-4.152544,3,0.126435046
2008,NS70,Grey,Grey,55.35101633,-3.941675667,3,0.110678626
2008,NS71,Grey,Grey,55.3807666,-3.9471348,5,0.158209619
2008,NS74,Grey,Grey,55.707814,-3.9972745,2,0.067105307
2008,NS74,Red,Red,55.702626,-3.985075,1,0.067105307
2008,NS75,Grey,Grey,55.766666,-4.007471333,8,0.185123083
2008,NS76,Grey,Grey,55.900526,-4.028766,1,0.139718097
2008,NS77,Grey,Grey,55.9431695,-4.0037615,8,0.206847214
2008,NS78,Grey,Grey,56.074044,-3.968785,1,0.278273626
2008,NS78,Red,Red,56.074044,-3.968785,1,0.278273626
2008,NS79,Grey,Grey,56.131842,-3.950809,12,0.158513647
2008,NS79,Red,Red,56.11778983,-3.967929667,8,0.158513647
2008,NS80,Grey,Grey,55.30162424,-3.802586762,21,0.17839612
2008,NS81,Grey,Grey,55.412897,-3.893105,2,0.059451403
2008,NS82,Grey,Grey,55.488226,-3.784339,1,0.17346937
2008,NS84,Grey,Grey,55.68007989,-3.802261111,24,0.175714107
2008,NS85,Grey,Grey,55.734397,-3.84971,1,0.264271422
2008,NS87,Grey,Grey,55.999459,-3.791796,1,0.234041795
2008,NS89,Grey,Grey,56.092138,-3.9038,4,0.104547794
2008,NS96,Grey,Grey,55.902701,-3.641768,1,0.199431367
2008,NS98,Red,Red,56.073935,-3.671537,2,0.12023511
2008,NS99,Red,Red,56.1355676,-3.6854634,5,0.228417202
2008,NT00,Grey,Grey,55.333385,-3.4513448,6,0.448028506
2008,NT00,Red,Red,55.328226,-3.496552667,8,0.448028506
2008,NT04,Grey,Grey,55.6548945,-3.4835615,4,0.13658187
2008,NT06,Grey,Grey,55.860369,-3.508961,20,0.186688283
2008,NT08,Grey,Grey,56.059625,-3.598644,1,0.078000546
2008,NT09,Grey,Grey,56.166789,-3.580548,16,0.203375634
2008,NT09,Red,Red,56.175729,-3.584137,1,0.203375634
2008,NT10,Grey,Grey,55.32509833,-3.386759333,6,0.492750012
2008,NT13,Red,Red,55.6037755,-3.3983005,2,0.157359746
2008,NT14,Grey,Grey,55.682292,-3.368493,1,0.161854275
2008,NT19,Red,Red,56.184117,-3.329912,1,0.170236278
2008,NT21,Grey,Grey,55.42452033,-3.135979667,12,0.408098031
2008,NT21,Red,Red,55.415851,-3.150108,5,0.408098031
2008,NT22,Grey,Grey,55.474604,-3.207823,2,0.157658453
2008,NT23,Grey,Grey,55.63964,-3.146171,2,0.163985542
2008,NT23,Red,Red,55.633941,-3.1309145,2,0.163985542
2008,NT24,Grey,Grey,55.6517005,-3.200557,2,0.355317267
2008,NT24,Red,Red,55.662982,-3.148443,1,0.355317267
2008,NT26,Grey,Grey,55.912168,-3.25739,1,0.126153088
2008,NT27,Grey,Grey,55.94481443,-3.212537143,14,0.049180864
2008,NT29,Grey,Grey,56.154319,-3.258045,1,0.119626288
2008,NT30,Grey,Grey,55.347037,-3.005239,10,0.69517991
2008,NT31,Grey,Grey,55.424657,-2.962969,2,0.502654325
2008,NT31,Red,Red,55.394197,-2.951177,2,0.502654325
2008,NT32,Red,Red,55.559469,-2.959923,4,0.088144504
2008,NT33,Grey,Grey,55.62466767,-3.045153667,17,0.454800689
2008,NT33,Red,Red,55.6187605,-3.052674667,10,0.454800689
2008,NT35,Grey,Grey,55.811042,-2.962916,1,0.107171669
2008,NT36,Grey,Grey,55.86837475,-3.0646075,9,0.14372726
2008,NT40,Red,Red,55.302518,-2.830844,1,0.206774105
2008,NT42,Grey,Grey,55.5405924,-2.8383948,10,0.223149224
2008,NT42,Red,Red,55.54191329,-2.887064143,8,0.223149224
2008,NT43,Grey,Grey,55.601288,-2.895872,2,0.206392672
2008,NT43,Red,Red,55.595541,-2.854721143,10,0.206392672
2008,NT46,Grey,Grey,55.834742,-2.918796,2,0.125584483
2008,NT46,Red,Red,55.8873755,-2.8464965,6,0.125584483
2008,NT47,Red,Red,55.939071,-2.905256,1,0.06379801
2008,NT50,Grey,Grey,55.36281667,-2.771111,7,0.604247454
2008,NT50,Red,Red,55.350024,-2.7048775,2,0.604247454
2008,NT51,Grey,Grey,55.428086,-2.724769,6,0.107484804
2008,NT52,Red,Red,55.506191,-2.73855,1,0.137542303
2008,NT53,Grey,Grey,55.59498233,-2.715368667,9,0.156749234
2008,NT53,Red,Red,55.5869415,-2.7269065,10,0.156749234
2008,NT57,Grey,Grey,55.949261,-2.722945,2,0.08262098
2008,NT60,Red,Red,55.358161,-2.518118,5,0.488091366
2008,NT61,Grey,Grey,55.46188633,-2.563226333,13,0.210184451
2008,NT61,Red,Red,55.4378225,-2.53694975,4,0.210184451
2008,NT63,Red,Red,55.598807,-2.5562,5,0.09550151
2008,NT64,Red,Red,55.733429,-2.589962,1,0.107793135
2008,NT70,Red,Red,55.309916,-2.355230333,4,0.11216536
2008,NT72,Grey,Grey,55.545554,-2.384287,2,0.089139988
2008,NT72,Red,Red,55.545554,-2.384287,1,0.089139988
2008,NT73,Grey,Grey,55.596599,-2.435568,5,0.065221546
2008,NT73,Red,Red,55.598425,-2.427652,1,0.065221546
2008,NT74,Grey,Grey,55.718975,-2.382806,3,0.075505144
2008,NT74,Red,Red,55.720323,-2.3828185,3,0.075505144
2008,NT83,Grey,Grey,55.650055,-2.285202,2,0.014562672
2008,NT84,Grey,Grey,55.727425,-2.239594,2,0.05647118
2008,NT85,Red,Red,55.7566832,-2.247729,7,0.061531566
2008,NT86,Red,Red,55.8589766,-2.2314494,11,0.124429903
2008,NT95,Grey,Grey,55.78983188,-2.108413375,13,0.042318325
2008,NT96,Grey,Grey,55.87964675,-2.1410335,4,0.042915132
2008,NT96,Red,Red,55.855202,-2.103804,2,0.042915132
2008,NW95,Red,Red,54.841185,-5.116978,1,0.009099889
2008,NX05,Red,Red,54.845751,-5.114214,1,0.041236939
2008,NX06,Grey,Grey,54.975616,-5.027357,1,0.062477216
2008,NX06,Red,Red,54.93061627,-5.051647545,33,0.062477216
2008,NX07,Grey,Grey,55.028521,-5.032913,1,0.197325386
2008,NX08,Grey,Grey,55.09933,-5.005352,1,0.010723756
2008,NX08,Red,Red,55.082742,-4.985301,1,0.010723756
2008,NX15,Red,Red,54.88765867,-4.898067333,5,0.075380297
2008,NX16,Red,Red,54.92240933,-4.885991333,13,0.115113988
2008,NX17,Grey,Grey,55.04927167,-4.919651333,3,0.228260168
2008,NX18,Grey,Grey,55.115629,-4.9454075,2,0.231987944
