OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
NM90,56.2081037,-5.326685567,0.527416925,47,0,1,0
NM91,56.27480517,-5.277649208,0.587993901,58,0,1,0
NM92,56.39171473,-5.315076455,0.211813007,17,0,1,0
NM93,56.4551907,-5.328341058,0.341472473,80,0,1,0
NM94,56.52789937,-5.327959344,0.32751221,276,0,1,0
NM95,56.63330283,-5.297160167,0.145987738,17,0,1,0
NM96,56.72237,-5.272675,0.136577066,1,0,1,0
NM98,56.8773275,-5.4274155,0.13580807,2,0,1,0
NN00,56.18547369,-5.095709398,0.544649386,151,2,0.986928105,0.013071895
NN01,56.2808015,-5.135821167,0.306869877,7,0,1,0
NN02,56.37595134,-5.187192563,0.371482303,39,0,1,0
NN03,56.43295344,-5.218951814,0.259587687,49,0,1,0
NN04,56.5692885,-5.206309167,0.140623869,14,1,0.933333333,0.066666667
NN05,56.67902956,-5.188260938,0.373475293,43,0,1,0
NN06,56.71442185,-5.203652141,0.299504326,137,0,1,0
NN07,56.82199458,-5.174402417,0.250311422,13,0,1,0
NN08,56.915151,-5.204907,0.126535655,1,0,1,0
NN10,56.18785653,-4.948424032,0.436012357,135,0,1,0
NN11,56.26296881,-4.967259811,0.418270196,59,0,1,0
NN12,56.40072072,-5.0011885,0.273429313,86,0,1,0
NN13,56.470695,-5.004921,0.071519827,1,0,1,0
NN14,56.5547715,-4.9753785,0.139437749,3,0,1,0
NN15,56.67935056,-5.083683167,0.098083028,27,0,1,0
NN16,56.72010856,-4.993862778,0.253802358,45,0,1,0
NN17,56.84435207,-5.070473107,0.310964359,71,0,1,0
NN18,56.92352294,-5.014265031,0.38975194,32,0,1,0
NN19,57.030375,-5.091194,0.216059404,1,4,0.2,0.8
NN20,56.19063457,-4.807076114,0.275774059,585,21,0.965346535,0.034653465
NN21,56.295053,-4.829465,0.108665813,1,0,1,0
NN22,56.40836967,-4.885162,0.195614953,3,0,1,0
NN23,56.490936,-4.785798667,0.346889318,4,0,1,0
NN24,56.55518433,-4.793256,0.091653746,4,0,1,0
NN25,56.622266,-4.924842,0.005271883,2,0,1,0
NN27,56.86451167,-4.892841,0.196267862,3,0,1,0
NN28,56.9118151,-4.883378575,0.281580597,52,0,1,0
NN29,57.01857429,-4.841376714,0.239927875,7,0,1,0
NN30,56.21584999,-4.718121221,0.239134176,237,72,0.766990291,0.233009709
NN31,56.28823823,-4.665740231,0.106900279,14,3,0.823529412,0.176470588
NN32,56.40041561,-4.640397921,0.238177188,67,0,1,0
NN33,56.43967192,-4.706658538,0.122022077,21,0,1,0
NN35,56.6549435,-4.660168,0.042217616,4,0,1,0
NN37,56.86383717,-4.7068885,0.165180477,8,0,1,0
NN38,56.886961,-4.710525444,0.208409248,10,0,1,0
NN39,57.05169225,-4.797292,0.080186707,4,0,1,0
NN40,56.18708434,-4.457059735,0.477586155,200,11,0.947867299,0.052132701
NN41,56.3087745,-4.509654333,0.162803263,11,2,0.846153846,0.153846154
NN42,56.38934963,-4.523596375,0.149322357,9,0,1,0
NN43,56.500436,-4.449047,0.071349027,1,0,1,0
NN46,56.750772,-4.536481,0.067730271,1,0,1,0
NN48,56.91433463,-4.5721045,0.160183878,8,0,1,0
NN49,57.020008,-4.554797,0.028297277,1,0,1,0
NN50,56.19623922,-4.358757751,0.527976203,579,39,0.936893204,0.063106796
NN51,56.31003779,-4.313589567,0.388966588,578,14,0.976351351,0.023648649
NN52,56.37950373,-4.320673093,0.240160195,336,7,0.979591837,0.020408163
NN53,56.47096658,-4.31770684,0.179746914,355,1,0.997191011,0.002808989
NN54,56.58848625,-4.331593179,0.146052628,34,0,1,0
NN55,56.6835626,-4.349016462,0.468128324,84,0,1,0
NN56,56.753991,-4.373106,0.115822599,1,0,1,0
NN57,56.883675,-4.334539,0.055124455,1,0,1,0
NN58,56.963446,-4.423977,0.197446678,9,0,1,0
NN59,56.9964327,-4.3474444,0.19956452,10,0,1,0
NN60,56.23971156,-4.210864183,0.317673331,1029,393,0.723628692,0.276371308
NN61,56.3028492,-4.1462086,0.038960964,5,1,0.833333333,0.166666667
NN62,56.38881894,-4.161753672,0.084119623,458,32,0.934693878,0.065306122
NN63,56.49325022,-4.20836667,0.09741195,105,0,1,0
NN64,56.59096775,-4.171493389,0.071799332,53,0,1,0
NN65,56.69643418,-4.198311415,0.174978655,85,0,1,0
NN66,56.744423,-4.195270667,0.109492584,11,2,0.846153846,0.153846154
NN67,56.836438,-4.2270795,0.00272107,8,0,1,0
NN68,56.9360335,-4.23547925,0.106901879,4,0,1,0
NN69,57.02210214,-4.235551525,0.199188536,134,0,1,0
NN70,56.19224771,-3.989788516,0.30401815,1010,612,0.622688039,0.377311961
NN71,56.34457359,-3.996147932,0.081389721,66,37,0.640776699,0.359223301
NN72,56.37982712,-4.004317066,0.229398951,746,367,0.670260557,0.329739443
NN73,56.51238173,-4.07746,0.015550701,11,1,0.916666667,0.083333333
NN74,56.58884458,-4.035559018,0.324498172,442,1,0.997742664,0.002257336
NN75,56.6916144,-4.038737584,0.293447326,90,0,1,0
NN76,56.75683887,-4.069367467,0.418117602,39,0,1,0
NN77,56.849563,-4.051158,0.029411485,1,0,1,0
NN79,57.06446367,-4.102926026,0.190591006,170,0,1,0
NN80,56.21761702,-3.887977873,0.137126195,278,14,0.952054795,0.047945205
NN81,56.31641506,-3.845402098,0.236147944,160,34,0.824742268,0.175257732
NN82,56.38195976,-3.850086687,0.14397231,582,865,0.402211472,0.597788528
NN83,56.48539767,-3.809140556,0.025917158,14,0,1,0
NN84,56.61509606,-3.874601844,0.331220158,247,7,0.972440945,0.027559055
NN85,56.6555567,-3.84405574,0.244975569,275,3,0.989208633,0.010791367
NN86,56.76942939,-3.859256098,0.422130941,849,6,0.992982456,0.007017544
NN87,56.8214175,-3.84449375,0.011266751,4,0,1,0
NN88,56.941933,-3.891835,0.028041575,1,0,1,0
NN89,57.0420358,-3.90287,0.292671456,5,0,1,0
NN90,56.23487212,-3.682911202,0.237428375,118,4,0.967213115,0.032786885
NN91,56.30336617,-3.713990793,0.171364837,403,229,0.637658228,0.362341772
NN92,56.41048067,-3.713776039,0.211420781,458,140,0.765886288,0.234113712
