Year,OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover(%),CountRed,CountGrey,%Red,%Grey
2008,NJ76,57.64454067,-2.498630667,0.007306248,5,0,1,0
2008,NJ80,57.1194515,-2.219540617,0.145801017,20,190,0.095238095,0.904761905
2008,NJ81,57.19829743,-2.18947462,0.156304331,14,79,0.150537634,0.849462366
2008,NJ82,57.31482313,-2.240618375,0.070620342,6,4,0.6,0.4
2008,NJ83,57.4073535,-2.241515167,0.116073865,23,2,0.92,0.08
2008,NJ84,57.460487,-2.267247,0.065000952,2,0,1,0
2008,NJ90,57.12380796,-2.148689376,0.053831489,2,277,0.007168459,0.992831541
2008,NJ91,57.2048203,-2.1373754,0.063795747,7,12,0.368421053,0.631578947
2008,NJ93,57.36784455,-2.080013182,0.093215859,21,0,1,0
2008,NM66,56.72828725,-5.82921225,0.186151448,6,0,1,0
2008,NM70,56.209311,-5.556261,0.068410444,1,0,1,0
2008,NM76,56.717138,-5.715288,0.288137822,1,0,1,0
2008,NM77,56.786818,-5.730373,0.068931735,1,0,1,0
2008,NM82,56.41064733,-5.463141333,0.286044416,4,0,1,0
2008,NM83,56.42641467,-5.467280333,0.076375553,8,0,1,0
2008,NM91,56.263696,-5.280221,0.587993901,1,0,1,0
2008,NM93,56.442701,-5.276165,0.341472473,1,0,1,0
2008,NM94,56.520854,-5.312187,0.32751221,1,0,1,0
2008,NM95,56.63746,-5.288151,0.145987738,2,0,1,0
2008,NN00,56.1753355,-5.129362,0.544649386,2,0,1,0
2008,NN03,56.429286,-5.239318,0.259587687,1,0,1,0
2008,NN04,56.568773,-5.2162425,0.140623869,3,0,1,0
2008,NN05,56.68326533,-5.162571,0.373475293,3,0,1,0
2008,NN06,56.70458471,-5.195959143,0.299504326,15,0,1,0
2008,NN10,56.167095,-4.9014,0.436012357,1,0,1,0
2008,NN12,56.3795205,-5.020386,0.273429313,2,0,1,0
2008,NN16,56.71467888,-4.969813125,0.253802358,15,0,1,0
2008,NN17,56.8192484,-5.0758968,0.310964359,5,0,1,0
2008,NN19,57.030375,-5.091194,0.216059404,1,4,0.2,0.8
2008,NN20,56.172592,-4.896981,0.275774059,2,0,1,0
2008,NN28,56.932572,-4.954034,0.281580597,1,0,1,0
2008,NN30,56.20462433,-4.713409333,0.239134176,3,0,1,0
2008,NN40,56.18588024,-4.45416888,0.477586155,29,0,1,0
2008,NN50,56.183046,-4.373295045,0.527976203,47,2,0.959183673,0.040816327
2008,NN51,56.32484211,-4.332291222,0.388966588,39,0,1,0
2008,NN52,56.3649415,-4.344807,0.240160195,5,0,1,0
2008,NN53,56.521231,-4.349587,0.179746914,2,0,1,0
2008,NN57,56.883675,-4.334539,0.055124455,1,0,1,0
2008,NN60,56.23395693,-4.212381643,0.317673331,16,30,0.347826087,0.652173913
2008,NN61,56.264317,-4.196546,0.038960964,1,0,1,0
2008,NN62,56.390702,-4.147823625,0.084119623,11,2,0.846153846,0.153846154
2008,NN65,56.69590467,-4.165831167,0.174978655,14,0,1,0
2008,NN69,57.02503667,-4.220360667,0.199188536,4,0,1,0
2008,NN70,56.18699658,-3.989844333,0.30401815,9,15,0.375,0.625
2008,NN71,56.302726,-3.941742,0.081389721,1,0,1,0
2008,NN72,56.370172,-4.0228935,0.229398951,2,0,1,0
2008,NN74,56.5907575,-3.987158667,0.324498172,6,1,0.857142857,0.142857143
2008,NN75,56.7007645,-4.028343,0.293447326,2,0,1,0
2008,NN76,56.7977805,-4.016806,0.418117602,2,0,1,0
2008,NN79,57.05478825,-4.1243015,0.190591006,9,0,1,0
2008,NN80,56.237345,-3.902687286,0.137126195,7,2,0.777777778,0.222222222
2008,NN81,56.33395275,-3.875992375,0.236147944,8,0,1,0
2008,NN82,56.385147,-3.840238,0.14397231,4,6,0.4,0.6
2008,NN84,56.61180438,-3.8745805,0.331220158,14,0,1,0
2008,NN85,56.64114633,-3.826463167,0.244975569,10,2,0.833333333,0.166666667
2008,NN86,56.76829883,-3.880500278,0.422130941,64,0,1,0
2008,NN90,56.231681,-3.678427,0.237428375,4,0,1,0
2008,NN91,56.30506775,-3.68967525,0.171364837,14,2,0.875,0.125
2008,NN92,56.4272746,-3.6994084,0.211420781,15,1,0.9375,0.0625
2008,NN93,56.535816,-3.7190725,0.059898243,2,0,1,0
2008,NN95,56.68762411,-3.735584679,0.421215582,53,1,0.981481481,0.018518519
2008,NN96,56.73788675,-3.774887,0.114435342,7,0,1,0
2008,NN97,56.849686,-3.747791,0.00975876,1,0,1,0
2008,NO00,56.23105175,-3.5061365,0.325315484,5,0,1,0
2008,NO01,56.357038,-3.528527,0.233963337,3,0,1,0
2008,NO02,56.42892706,-3.546841333,0.218594493,13,25,0.342105263,0.657894737
2008,NO03,56.4764593,-3.549392,0.201753146,9,5,0.642857143,0.357142857
2008,NO04,56.57856857,-3.562453714,0.369788833,21,8,0.724137931,0.275862069
2008,NO05,56.720863,-3.4975045,0.128524074,3,0,1,0
2008,NO06,56.7323605,-3.512675,0.193679366,2,1,0.666666667,0.333333333
2008,NO10,56.21397225,-3.37207575,0.076759514,4,3,0.571428571,0.428571429
2008,NO11,56.32514591,-3.355562182,0.153796274,17,2,0.894736842,0.105263158
2008,NO12,56.40408017,-3.4109925,0.164696499,10,27,0.27027027,0.72972973
2008,NO13,56.49718288,-3.416611375,0.190279153,6,5,0.545454545,0.454545455
2008,NO14,56.58022463,-3.361027063,0.136384102,18,8,0.692307692,0.307692308
2008,NO15,56.66173933,-3.444581333,0.245170626,5,0,1,0
2008,NO16,56.72785,-3.316365,0.090105103,4,0,1,0
2008,NO19,57.00720636,-3.396719364,0.203243873,19,0,1,0
2008,NO20,56.22474233,-3.1692615,0.150020785,5,2,0.714285714,0.285714286
2008,NO21,56.31860238,-3.20318675,0.13967205,18,3,0.857142857,0.142857143
2008,NO22,56.430897,-3.22946175,0.067207426,4,0,1,0
2008,NO23,56.49247918,-3.212323273,0.177162768,11,6,0.647058824,0.352941176
2008,NO24,56.57275746,-3.181739308,0.084138221,11,7,0.611111111,0.388888889
2008,NO25,56.674027,-3.188823,0.208072609,5,4,0.555555556,0.444444444
2008,NO27,56.83875,-3.248669333,0.109615141,3,1,0.75,0.25
2008,NO29,57.04030733,-3.217529333,0.263151057,11,0,1,0
2008,NO30,56.225933,-3.097489,0.100008326,1,0,1,0
2008,NO31,56.2983365,-3.105489667,0.09870466,7,0,1,0
2008,NO32,56.3979805,-3.04694525,0.062492866,8,2,0.8,0.2
2008,NO33,56.4885773,-3.054091889,0.106139225,44,10,0.814814815,0.185185185
2008,NO34,56.5947938,-3.018572,0.107557369,5,0,1,0
2008,NO35,56.672118,-3.020378824,0.112913192,20,17,0.540540541,0.459459459
2008,NO36,56.74631175,-3.024732,0.159996286,3,2,0.6,0.4
2008,NO38,56.96719667,-3.125764667,0.038427435,3,0,1,0
2008,NO39,57.05365625,-3.040603375,0.377846937,12,0,1,0
2008,NO40,56.2310995,-2.9024635,0.10475566,1,1,0.5,0.5
2008,NO41,56.308852,-2.8953525,0.065521543,2,0,1,0
2008,NO42,56.42362291,-2.939516273,0.220115118,14,1,0.933333333,0.066666667
2008,NO43,56.49087329,-2.830434714,0.044310792,0,8,0,1
2008,NO44,56.6115315,-2.879741625,0.104656114,9,1,0.9,0.1
2008,NO45,56.67624227,-2.890072727,0.094206324,19,1,0.95,0.05
2008,NO46,56.74781217,-2.843953,0.092299112,8,0,1,0
2008,NO49,57.07169875,-2.9432315,0.421568064,8,0,1,0
2008,NO51,56.321112,-2.742893,0.031802716,1,0,1,0
