Year,OSGR10km,Type,Species,Latitude(WGS84),Longitude(WGS84),Count,Forest Cover(%)
1975,NJ02,Red,Red,57.305659,-3.57847,1,0.367760037
1975,NJ03,Red,Red,57.395452,-3.58233,1,0.196655844
1975,NJ06,Red,Red,57.664822,-3.594046,1,0.119632158
1975,NJ16,Red,Red,57.666823,-3.42649,1,0.213015693
1975,NJ32,Red,Red,57.310923,-3.080649,1,0.024872891
1975,NJ40,Red,Red,57.132604,-2.910239,1,0.270596315
1975,NN53,Red,Red,56.484707,-4.356261,1,0.179746914
1975,NN64,Red,Red,56.577454,-4.199209,1,0.071799332
1975,NN84,Red,Red,56.582784,-3.873853,1,0.331220158
1975,NN86,Red,Red,56.762361,-3.882792,1,0.422130941
1975,NN95,Red,Red,56.674927,-3.715205,1,0.421215582
1975,NO04,Red,Red,56.589659,-3.5362775,2,0.369788833
1975,NO13,Grey,Grey,56.492315,-3.410521,1,0.190279153
1975,NO13,Red,Red,56.499371,-3.382353,1,0.190279153
1975,NO14,Red,Red,56.589183,-3.385631,1,0.136384102
1975,NO15,Red,Red,56.678995,-3.388928,1,0.245170626
1975,NO19,Red,Red,57.038225,-3.402308,1,0.203243873
1975,NO23,Red,Red,56.501072,-3.219957,1,0.177162768
1975,NO25,Red,Red,56.680708,-3.225759,1,0.208072609
1975,NO27,Red,Red,56.860337,-3.23163,1,0.109615141
1975,NO29,Red,Red,57.039961,-3.237569,1,0.263151057
1975,NO30,Grey,Grey,56.214863,-3.129421,1,0.100008326
1975,NO30,Red,Red,56.253464,-3.030488,1,0.100008326
1975,NO32,Red,Red,56.406143,-3.037852,1,0.062492866
1975,NO33,Red,Red,56.502562,-3.057543,1,0.106139225
1975,NO35,Red,Red,56.682207,-3.062574,1,0.112913192
1975,NO41,Grey,Grey,56.322167,-2.857712,1,0.065521543
1975,NO43,Red,Red,56.503838,-2.895115,1,0.044310792
1975,NO44,Red,Red,56.593666,-2.897238,1,0.104656114
1975,NO45,Red,Red,56.683493,-2.899374,1,0.094206324
1975,NO46,Red,Red,56.773318,-2.901522,1,0.092299112
1975,NO49,Red,Red,57.042785,-2.908041,1,0.421568064
1975,NT26,Grey,Grey,55.85852483,-3.200271167,6,0.126153088
1975,NT29,Grey,Grey,56.12134,-3.137938,1,0.119626288
1975,NT39,Grey,Grey,56.177497,-3.088052,1,0.042853529
1976,NO14,Grey,Grey,56.554597,-3.38518,1,0.136384102
1976,NT26,Grey,Grey,55.851494,-3.168374,1,0.126153088
1976,NT46,Red,Red,55.882806,-2.857587,2,0.125584483
1976,NT57,Red,Red,55.939058,-2.775584,1,0.08262098
1977,NN60,Grey,Grey,56.20369,-4.117301,4,0.317673331
1977,NN60,Red,Red,56.205866,-4.121451,1,0.317673331
1977,NN70,Grey,Grey,56.206415,-4.089235,1,0.30401815
1977,NN70,Red,Red,56.235463,-3.961732,1,0.30401815
1977,NS59,Grey,Grey,56.1084335,-4.292995,2,0.342263416
1977,NS68,Grey,Grey,56.0648705,-4.218119,2,0.279522954
1977,NS69,Grey,Grey,56.1157345,-4.136593,4,0.126435046
1977,NS69,Red,Red,56.116083,-4.116506,1,0.126435046
1977,NS78,Grey,Grey,56.07058867,-3.969409667,3,0.278273626
1977,NS79,Grey,Grey,56.1148316,-3.9748936,10,0.158513647
1977,NS89,Grey,Grey,56.1193635,-3.915598,2,0.104547794
1977,NT26,Grey,Grey,55.86898,-3.218439,1,0.126153088
1977,NT46,Red,Red,55.886793,-2.865669,2,0.125584483
1978,NO41,Grey,Grey,56.329172,-2.818249,1,0.065521543
1978,NO51,Red,Red,56.338261,-2.802268,1,0.031802716
1978,NS65,Grey,Grey,55.766476,-4.193963,1,0.120713864
1979,NJ70,Red,Red,57.099952,-2.344118,1,0.271022756
1979,NN40,Grey,Grey,56.183073,-4.454571,1,0.477586155
1979,NN50,Grey,Grey,56.227216,-4.260566,1,0.527976203
1979,NN60,Grey,Grey,56.248071,-4.200457,1,0.317673331
1979,NN70,Red,Red,56.193345,-4.037752,1,0.30401815
1979,NO42,Red,Red,56.41884083,-2.854631167,6,0.220115118
1979,NO50,Red,Red,56.257515,-2.784436,1,0.023904932
1979,NO51,Red,Red,56.338261,-2.802268,1,0.031802716
1979,NO52,Red,Red,56.4325855,-2.8042535,2,0.007416706
1979,NS58,Grey,Grey,56.0345005,-4.38854125,4,0.164378909
1979,NS59,Grey,Grey,56.16252,-4.259984,1,0.342263416
1979,NS69,Grey,Grey,56.130047,-4.166353,1,0.126435046
1979,NS78,Grey,Grey,56.083921,-3.969289,1,0.278273626
1979,NS79,Grey,Grey,56.13004,-4.061757,1,0.158513647
1979,NS79,Red,Red,56.165989,-3.95094,1,0.158513647
1979,NT19,Grey,Grey,56.150366,-3.355708,2,0.170236278
1979,NT19,Red,Red,56.141815,-3.336497,1,0.170236278
1980,NJ95,Red,Red,57.544608,-2.060126,2,0.115319629
1980,NN40,Grey,Grey,56.212255,-4.500787,1,0.477586155
1980,NN41,Grey,Grey,56.302012,-4.506651,1,0.162803263
1980,NN50,Grey,Grey,56.1842805,-4.321681,2,0.527976203
1980,NN50,Red,Red,56.174245,-4.377478,1,0.527976203
1980,NN51,Grey,Grey,56.336748,-4.33904,1,0.388966588
1980,NN52,Grey,Grey,56.363063,-4.373033,1,0.240160195
1980,NN52,Red,Red,56.3585745,-4.3727545,2,0.240160195
1980,NN53,Red,Red,56.481284,-4.299205,1,0.179746914
1980,NN60,Grey,Grey,56.2193625,-4.2055325,6,0.317673331
1980,NN70,Grey,Grey,56.180551,-4.023378,1,0.30401815
1980,NN70,Red,Red,56.180019,-4.055575,1,0.30401815
1980,NO16,Red,Red,56.765114,-3.318487,1,0.090105103
1980,NO20,Red,Red,56.244843,-3.236,1,0.150020785
1980,NO23,Red,Red,56.470331,-3.145924,1,0.177162768
1980,NO24,Red,Red,56.613265,-3.23172,1,0.084138221
1980,NO25,Red,Red,56.6810245,-3.193121,2,0.208072609
1980,NO32,Red,Red,56.453089,-3.06428,1,0.062492866
1980,NO33,Red,Red,56.49071,-3.0511195,2,0.106139225
1980,NO41,Red,Red,56.338156,-2.818441,1,0.065521543
1980,NO42,Red,Red,56.418896,-2.836384,1,0.220115118
1980,NO44,Red,Red,56.6039425,-2.8734555,2,0.104656114
1980,NO46,Red,Red,56.733071,-2.87604,1,0.092299112
1980,NO52,Red,Red,56.432786,-2.8079055,2,0.007416706
1980,NO54,Red,Red,56.55364,-2.770218,1,0.075704654
1980,NO55,Red,Red,56.689104,-2.728087,1,0.207330037
1980,NO66,Red,Red,56.788452,-2.631799,1,0.143553007
1980,NS68,Grey,Grey,56.056037,-4.2095805,2,0.279522954
1980,NS69,Grey,Grey,56.13298575,-4.177796,4,0.126435046
1980,NS77,Grey,Grey,55.975063,-3.948527,1,0.206847214
1980,NS79,Grey,Grey,56.14392317,-3.9770385,7,0.158513647
1980,NS79,Red,Red,56.1727995,-3.946453,4,0.158513647
1980,NS89,Grey,Grey,56.14823743,-3.895086857,9,0.104547794
1980,NS99,Grey,Grey,56.161453,-3.700294333,3,0.228417202
1980,NS99,Red,Red,56.1453205,-3.6754355,2,0.228417202
1980,NT19,Grey,Grey,56.156046,-3.349871,1,0.170236278
1980,NT27,Grey,Grey,55.978821,-3.19625,1,0.049180864
1980,NT36,Red,Red,55.879166,-2.983783,1,0.14372726
1981,NH77,Red,Red,57.714848,-4.158644,1,0.355084661
1981,NH78,Red,Red,57.811556,-4.097927,1,0.234940662
1981,NN42,Red,Red,56.38426,-4.550125,1,0.149322357
