OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover (%),CountRed,CountGrey,Count,Red%,Grey%
NJ31,57.20838676,-3.085865381,35.5215389,148,0,148,100,0
NJ32,57.33321833,-3.010154333,2.4872891,3,0,3,100,0
NJ33,57.4392633,-3.123918043,18.3605053,25,0,25,100,0
NJ34,57.48238463,-3.108034913,46.5102441,90,0,90,100,0
NJ35,57.60800694,-3.103458556,50.0497834,190,0,190,100,0
NJ36,57.65180592,-3.10813492,16.3872224,66,0,66,100,0
NJ40,57.12260513,-2.89115615,27.0596315,184,0,184,100,0
NJ41,57.22386373,-2.914883,19.8864466,47,0,47,100,0
NJ42,57.30091584,-2.8975786,21.2324305,34,0,34,100,0
NJ43,57.40248616,-2.906909315,53.2415417,133,0,133,100,0
NJ44,57.48624195,-2.87609695,27.9418649,57,0,57,100,0
NJ45,57.584143,-2.915017,30.1979884,5,0,5,100,0
NJ46,57.67207125,-2.89905975,23.0503089,29,0,29,100,0
NJ50,57.12562824,-2.717999194,30.0177353,104,1,105,99.047619,0.952381
NJ51,57.22924646,-2.72284559,19.5111833,286,13,299,95.6521739,4.3478261
NJ52,57.30562507,-2.711079286,19.5592565,23,0,23,100,0
NJ53,57.42314522,-2.758387444,23.8360378,21,0,21,100,0
NJ54,57.47501202,-2.783229309,27.8768844,111,0,111,100,0
NJ55,57.56658453,-2.721457579,23.0953581,22,0,22,100,0
NJ56,57.673279,-2.79791,13.3328252,20,0,20,100,0
NJ60,57.12127019,-2.606242784,26.0572992,199,1,200,99.5,0.5
NJ61,57.23391874,-2.564364828,39.0690039,339,28,367,92.3705722,7.6294278
NJ62,57.31012329,-2.549765543,28.1017805,217,1,218,99.5412844,0.4587156
NJ63,57.40978938,-2.58601712,10.3231262,94,0,94,100,0
NJ64,57.4908143,-2.598966676,11.6381545,76,0,76,100,0
NJ65,57.56945838,-2.564186654,11.5223998,42,1,43,97.6744186,2.3255814
NJ66,57.65388264,-2.533286929,4.7543882,72,0,72,100,0
NJ70,57.14780359,-2.360452011,27.1022756,271,125,396,68.4343434,31.5656566
NJ71,57.24108458,-2.41945417,17.8261556,877,94,971,90.3192585,9.6807415
NJ72,57.29593771,-2.416086894,8.6470649,453,48,501,90.4191617,9.5808383
NJ73,57.42745064,-2.400155336,10.2744658,183,0,183,100,0
NJ74,57.51202376,-2.439204691,8.2144756,113,2,115,98.2608696,1.7391304
NJ75,57.56697695,-2.453486526,9.1663401,55,0,55,100,0
NJ76,57.6451954,-2.4914185,0.7306248,13,0,13,100,0
NJ80,57.12503972,-2.220067308,14.5801017,3140,3260,6400,49.0625,50.9375
NJ81,57.20440572,-2.222411693,15.6304331,880,735,1615,54.4891641,45.5108359
NJ82,57.29603661,-2.240474745,7.0620342,422,74,496,85.0806452,14.9193548
NJ83,57.40891441,-2.237210243,11.6073865,319,2,321,99.376947,0.623053
NJ84,57.45823105,-2.251095211,6.5000952,39,0,39,100,0
NJ85,57.570595,-2.2845425,8.3853739,3,0,3,100,0
NJ90,57.14521756,-2.133931935,5.3831489,878,4849,5727,15.3308888,84.6691112
NJ91,57.20392419,-2.116364705,6.3795747,336,1017,1353,24.8337029,75.1662971
NJ92,57.32722566,-2.0866205,7.5211226,61,3,64,95.3125,4.6875
NJ93,57.36962792,-2.071055593,9.3215859,331,15,346,95.6647399,4.3352601
NJ94,57.51786114,-2.048199045,9.3061585,28,0,28,100,0
NJ95,57.56061933,-2.068802,11.5319629,16,0,16,100,0
NJ96,57.66134,-2.1147975,2.4738346,2,0,2,100,0
NK02,57.34021288,-1.991725875,0.2726783,9,0,9,100,0
NK03,57.389669,-1.976413,5.6653416,3,0,3,100,0
NK04,57.519472,-1.9966465,9.4244935,2,0,2,100,0
NK05,57.604345,-1.947276,8.4830666,1,0,1,100,0
NK06,57.645664,-1.948892,2.2719303,1,0,1,100,0
NK14,57.520685,-1.815507,1.1018634,1,0,1,100,0
NM56,56.685934,-5.968722,20.9948161,2,0,2,100,0
NM64,56.54611867,-5.780965,39.553515,3,0,3,100,0
NM66,56.73763689,-5.810375556,18.6151448,39,0,39,100,0
NM67,56.789773,-5.8117195,10.6460697,2,0,2,100,0
NM70,56.18207593,-5.568830533,6.8410444,30,0,30,100,0
NM71,56.28113767,-5.579281381,5.3981951,23,0,23,100,0
NM74,56.562744,-5.7367605,8.8977079,2,0,2,100,0
NM76,56.7137185,-5.7159885,28.8137822,2,0,2,100,0
NM77,56.81151812,-5.740022059,6.8931735,22,0,22,100,0
NM80,56.18418509,-5.4797695,29.681353,100,0,100,100,0
NM81,56.27393863,-5.491269833,46.851486,40,0,40,100,0
NM82,56.39567871,-5.470046174,28.6044416,116,0,116,100,0
NM83,56.42806953,-5.4673254,7.6375553,147,0,147,100,0
NM86,56.7005625,-5.56776725,32.8081689,4,0,4,100,0
NM90,56.21929471,-5.298081429,52.7416925,24,0,24,100,0
NM91,56.27089644,-5.270870556,58.7993901,25,0,25,100,0
NM92,56.38055729,-5.313606,21.1813007,13,0,13,100,0
NM93,56.45902088,-5.332218286,34.1472473,58,0,58,100,0
NM94,56.52676063,-5.326743927,32.751221,270,0,270,100,0
NM95,56.63645364,-5.291322909,14.5987738,16,0,16,100,0
NM96,56.72237,-5.272675,13.6577066,1,0,1,100,0
NM98,56.871857,-5.430198,13.580807,1,0,1,100,0
NN00,56.19028494,-5.093651129,54.4649386,113,0,113,100,0
NN01,56.268476,-5.110133,30.6869877,5,0,5,100,0
NN02,56.36425847,-5.170216412,37.1482303,24,0,24,100,0
NN03,56.43094188,-5.224071588,25.9587687,40,0,40,100,0
NN04,56.57841178,-5.216238556,14.0623869,12,0,12,100,0
NN05,56.67865819,-5.189579323,37.3475293,42,0,42,100,0
NN06,56.71445679,-5.207359714,29.9504326,115,0,115,100,0
NN07,56.83128556,-5.174327333,25.0311422,10,0,10,100,0
NN10,56.18892141,-4.94909602,43.6012357,77,0,77,100,0
NN11,56.2617861,-4.964535207,41.8270196,48,0,48,100,0
NN12,56.4010018,-5.000613894,27.3429313,84,0,84,100,0
NN15,56.683004,-5.091744813,9.8083028,25,0,25,100,0
NN16,56.72036475,-4.995085875,25.3802358,30,0,30,100,0
NN17,56.84598458,-5.071157,31.0964359,67,0,67,100,0
NN18,56.92366071,-5.013405645,38.975194,31,0,31,100,0
NN19,57.030375,-5.091194,21.6059404,1,4,5,20,80
NN20,56.19059657,-4.805189706,27.5774059,540,14,554,97.4729242,2.5270758
NN22,56.40836967,-4.885162,19.5614953,3,0,3,100,0
NN23,56.490936,-4.785798667,34.6889318,4,0,4,100,0
NN24,56.536728,-4.794609,9.1653746,2,0,2,100,0
NN25,56.622266,-4.924842,0.5271883,2,0,2,100,0
NN27,56.8670995,-4.8913865,19.6267862,2,0,2,100,0
NN28,56.91238349,-4.884776297,28.1580597,49,0,49,100,0
NN29,57.01952717,-4.8343075,23.9927875,6,0,6,100,0
NN30,56.21636248,-4.718787335,23.9134176,223,65,288,77.4305556,22.5694444
NN31,56.29124664,-4.661691909,10.6900279,14,1,15,93.3333333,6.6666667
NN32,56.39986803,-4.638071657,23.8177188,63,0,63,100,0
NN33,56.43646758,-4.70882475,12.2022077,20,0,20,100,0
NN35,56.652284,-4.626938,4.2217616,3,0,3,100,0
NN37,56.8691896,-4.70701,16.5180477,7,0,7,100,0
NN38,56.886961,-4.710525444,20.8409248,10,0,10,100,0
NN39,57.05169225,-4.797292,8.0186707,4,0,4,100,0
NN40,56.18576456,-4.451726476,47.7586155,167,0,167,100,0
NN41,56.30739713,-4.50487675,16.2803263,9,0,9,100,0
NN42,56.3863738,-4.512464,14.9322357,6,0,6,100,0
NN48,56.912059,-4.575454286,16.0183878,7,0,7,100,0
NN50,56.19662668,-4.361650464,52.7976203,509,19,528,96.4015152,3.5984848
NN51,56.30742044,-4.310666852,38.8966588,457,11,468,97.6495726,2.3504274
NN52,56.38113785,-4.316573894,24.0160195,285,2,287,99.3031359,0.6968641
