OSGR10km,Latitude(WGS84),Longitude(WGS84),Forest Cover (%),CountRed,CountGrey,Count,Red%,Grey%
NS39,56.13257736,-4.618076524,20.1398578,125,8,133,93.9849624,6.0150376
NS40,55.33184292,-4.460703594,27.8346889,24,44,68,35.2941176,64.7058824
NS41,55.41939511,-4.494180214,23.6056206,4,25,29,13.7931034,86.2068966
NS42,55.4919741,-4.432542195,7.8632065,1,218,219,0.456621,99.543379
NS43,55.59982211,-4.427366,4.7898243,3,92,95,3.1578947,96.8421053
NS44,55.68400804,-4.504448123,11.5543379,0,73,73,0,100
NS45,55.76488373,-4.478647308,11.3400857,0,44,44,0,100
NS46,55.84267449,-4.462119447,12.6261841,0,64,64,0,100
NS47,55.92392862,-4.469550573,21.642903,9,154,163,5.5214724,94.4785276
NS48,56.05427311,-4.485489681,20.2660378,243,36,279,87.0967742,12.9032258
NS49,56.09533793,-4.494300634,48.0460827,337,22,359,93.8718663,6.1281337
NS50,55.3501515,-4.337687,61.9954905,2,0,2,100,0
NS51,55.43594934,-4.298097166,24.1557983,5,171,176,2.8409091,97.1590909
NS52,55.47403991,-4.314731724,15.4387766,1,496,497,0.2012072,99.7987928
NS53,55.58779745,-4.323472592,14.7867661,3,108,111,2.7027027,97.2972973
NS55,55.77306766,-4.289344329,6.45833,0,137,137,0,100
NS56,55.86762558,-4.307863427,6.4706874,1,511,512,0.1953125,99.8046875
NS57,55.92931292,-4.33001663,18.6779461,9,180,189,4.7619048,95.2380952
NS58,56.0429555,-4.356851576,16.4378909,43,110,153,28.1045752,71.8954248
NS59,56.12972589,-4.346700942,34.2263416,990,2,992,99.7983871,0.2016129
NS60,55.33503808,-4.129955042,36.2844221,19,7,26,73.0769231,26.9230769
NS61,55.38544607,-4.169607667,11.7161434,6,92,98,6.122449,93.877551
NS62,55.4967075,-4.16446425,13.3586419,0,5,5,0,100
NS63,55.57277403,-4.088010167,27.9914257,0,36,36,0,100
NS64,55.67841518,-4.082824909,21.0004668,0,20,20,0,100
NS65,55.77529455,-4.165852194,12.0713864,0,97,97,0,100
NS66,55.85315799,-4.186771657,10.5119157,0,138,138,0,100
NS67,55.93291012,-4.16341129,12.1623425,2,119,121,1.6528926,98.3471074
NS68,56.05382428,-4.208394197,27.9522954,87,8,95,91.5789474,8.4210526
NS69,56.12609651,-4.148280411,12.6435046,120,49,169,71.0059172,28.9940828
NS70,55.34280978,-3.934833611,11.0678626,5,14,19,26.3157895,73.6842105
NS71,55.39308728,-3.928847065,15.8209619,2,49,51,3.9215686,96.0784314
NS72,55.52736444,-4.024055333,19.424903,1,27,28,3.5714286,96.4285714
NS73,55.610319,-3.912135,33.5448703,0,5,5,0,100
NS74,55.68161113,-3.9915041,6.7105307,1,47,48,2.0833333,97.9166667
NS75,55.7730242,-4.013452442,18.5123083,0,174,174,0,100
NS76,55.85180776,-3.999959918,13.9718097,0,79,79,0,100
NS77,55.95779723,-3.984365972,20.6847214,2,170,172,1.1627907,98.8372093
NS78,56.05658341,-3.965572981,27.8273626,46,17,63,73.015873,26.984127
NS79,56.15304236,-3.967360669,15.8513647,1176,557,1733,67.8592037,32.1407963
NS80,55.30957492,-3.810498874,17.839612,68,74,142,47.8873239,52.1126761
NS81,55.3986224,-3.8388746,5.9451403,12,3,15,80,20
NS82,55.53138744,-3.849862222,17.346937,0,12,12,0,100
NS83,55.57283681,-3.842014765,19.4732191,0,87,87,0,100
NS84,55.67336332,-3.796135678,17.5714107,1,142,143,0.6993007,99.3006993
NS85,55.76349548,-3.865473148,26.4271422,1,42,43,2.3255814,97.6744186
NS86,55.820492,-3.801118,20.3501901,0,2,2,0,100
NS87,55.98816127,-3.794058216,23.4041795,4,114,118,3.3898305,96.6101695
NS88,56.04169279,-3.857137417,12.4383296,68,243,311,21.8649518,78.1350482
NS89,56.14222349,-3.886634521,10.4547794,224,367,591,37.9018613,62.0981387
NS91,55.4319442,-3.62369451,19.6366338,46,3,49,93.877551,6.122449
NS92,55.5059806,-3.6856972,13.7893512,2,3,5,40,60
NS93,55.57021377,-3.640774077,14.9731834,0,16,16,0,100
NS94,55.6885705,-3.6795317,10.4865588,0,10,10,0,100
NS95,55.7660224,-3.6873516,34.4822082,0,9,9,0,100
NS96,55.87821035,-3.678711729,19.9431367,0,60,60,0,100
NS97,55.97788664,-3.696057073,14.215196,1,114,115,0.8695652,99.1304348
NS98,56.06554268,-3.684051777,12.023511,95,39,134,70.8955224,29.1044776
NS99,56.15238955,-3.685480506,22.8417202,452,199,651,69.4316436,30.5683564
NT00,55.32668402,-3.455794081,44.8028506,234,258,492,47.5609756,52.4390244
NT01,55.39830442,-3.519261333,42.0761893,14,0,14,100,0
NT02,55.496721,-3.445686,18.0875242,11,1,12,91.6666667,8.3333333
NT03,55.59010016,-3.490807342,12.9874988,3,42,45,6.6666667,93.3333333
NT04,55.69179937,-3.499394789,13.658187,0,58,58,0,100
NT06,55.88637317,-3.519193237,18.6688283,0,156,156,0,100
NT07,55.96067506,-3.523282588,11.6464456,0,54,54,0,100
NT08,56.07128817,-3.530595583,7.8000546,19,152,171,11.1111111,88.8888889
NT09,56.16086489,-3.556351209,20.3375634,254,58,312,81.4102564,18.5897436
NT10,55.32916498,-3.398379149,49.2750012,60,74,134,44.7761194,55.2238806
NT11,55.428351,-3.307018333,10.475819,0,3,3,0,100
NT12,55.51285388,-3.41229075,15.4929138,10,0,10,100,0
NT13,55.60549477,-3.353047754,15.7359746,91,598,689,13.2075472,86.7924528
NT14,55.69288206,-3.376140808,16.1854275,1,57,58,1.7241379,98.2758621
NT15,55.76928337,-3.341079211,9.7359557,0,27,27,0,100
NT16,55.89983042,-3.332751083,9.8299612,1,58,59,1.6949153,98.3050847
NT17,55.95995684,-3.331600872,9.4777572,0,154,154,0,100
NT18,56.05786864,-3.375213402,8.7990007,70,161,231,30.3030303,69.6969697
NT19,56.15068441,-3.387114961,17.0236278,221,13,234,94.4444444,5.5555556
NT20,55.34005205,-3.16556365,73.0748301,25,0,25,100,0
NT21,55.41794725,-3.154170354,40.8098031,79,18,97,81.443299,18.556701
NT22,55.48842203,-3.197462281,15.7658453,33,4,37,89.1891892,10.8108108
NT23,55.63244704,-3.175865043,16.3985542,341,532,873,39.0607102,60.9392898
NT24,55.65900161,-3.180606359,35.5317267,218,604,822,26.5206813,73.4793187
NT25,55.807691,-3.217056556,16.4696082,0,14,14,0,100
NT26,55.87488957,-3.201533216,12.6153088,2,192,194,1.0309278,98.9690722
NT27,55.95076174,-3.200450585,4.9180864,0,697,697,0,100
NT28,56.0692875,-3.214536667,2.795883,1,19,20,5,95
NT29,56.1379938,-3.17518644,11.9626288,8,75,83,9.6385542,90.3614458
NT30,55.36728877,-3.011393651,69.517991,47,11,58,81.0344828,18.9655172
NT31,55.41129844,-2.991828544,50.2654325,63,2,65,96.9230769,3.0769231
NT32,55.513645,-3.001533085,8.8144504,50,20,70,71.4285714,28.5714286
NT33,55.61957418,-3.051022727,45.4800689,505,495,1000,50.5,49.5
NT34,55.65492481,-3.067302875,10.1035168,6,10,16,37.5,62.5
NT35,55.79452033,-3.040637,10.7171669,0,3,3,0,100
NT36,55.87468464,-3.032694784,14.372726,1,104,105,0.952381,99.047619
NT37,55.94304448,-3.078639194,1.8005938,0,44,44,0,100
NT39,56.1644188,-3.1025786,4.2853529,2,3,5,40,60
NT40,55.35010016,-2.901543601,20.6774105,87,87,174,50,50
NT41,55.41201924,-2.830310501,11.1729874,102,391,493,20.6896552,79.3103448
NT42,55.51892735,-2.868031224,22.3149224,85,193,278,30.5755396,69.4244604
NT43,55.60443282,-2.879080497,20.6392672,212,491,703,30.1564723,69.8435277
NT44,55.69257888,-2.873029725,9.1249792,5,50,55,9.0909091,90.9090909
NT45,55.79948943,-2.894490429,13.8362687,0,8,8,0,100
NT46,55.89338444,-2.865738,12.5584483,24,40,64,37.5,62.5
NT47,55.96003832,-2.886113053,6.379801,1,29,30,3.3333333,96.6666667
NT48,56.02854,-2.8319315,1.3532262,0,2,2,0,100
NT50,55.36474069,-2.688064384,60.4247454,237,341,578,41.0034602,58.9965398
NT51,55.429192,-2.717611164,10.7484804,104,565,669,15.5455904,84.4544096
NT52,55.49487933,-2.689819281,13.7542303,10,238,248,4.0322581,95.9677419
NT53,55.5977815,-2.721182588,15.6749234,62,265,327,18.9602446,81.0397554
NT54,55.70122782,-2.720118013,11.2370365,2,82,84,2.3809524,97.6190476
NT55,55.80306667,-2.728726333,3.2902989,0,7,7,0,100
NT56,55.89349757,-2.740626862,10.8993043,0,133,133,0,100
NT57,55.95655241,-2.744929063,8.262098,0,41,41,0,100
NT58,56.05192469,-2.731629102,3.1423311,2,59,61,3.2786885,96.7213115
NT60,55.36109863,-2.522338677,48.8091366,109,16,125,87.2,12.8
NT61,55.42856735,-2.578858464,21.0184451,116,162,278,41.7266187,58.2733813
NT62,55.49771517,-2.571908491,13.3842392,16,112,128,12.5,87.5
NT63,55.60196777,-2.552109227,9.550151,10,24,34,29.4117647,70.5882353
NT64,55.72385497,-2.604462205,10.7793135,6,34,40,15,85
NT65,55.75660029,-2.600986,7.7658409,0,11,11,0,100
NT66,55.87301333,-2.584106667,13.0405748,0,4,4,0,100
NT67,55.96678902,-2.544421641,12.1834986,2,165,167,1.1976048,98.8023952
NT70,55.32568875,-2.36444275,11.216536,5,0,5,100,0
NT71,55.42991706,-2.463627647,14.9024148,6,13,19,31.5789474,68.4210526
NT72,55.5433519,-2.414943604,8.9139988,10,45,55,18.1818182,81.8181818
NT73,55.60266578,-2.422710438,6.5221546,5,131,136,3.6764706,96.3235294
NT74,55.71808479,-2.428678979,7.5505144,8,98,106,7.5471698,92.4528302
NT75,55.78852279,-2.364205204,14.6803912,5,471,476,1.0504202,98.9495798
NT76,55.86693669,-2.368369466,20.9573834,4,54,58,6.8965517,93.1034483
NT77,55.93238815,-2.363247077,3.6921058,0,15,15,0,100
NT81,55.438158,-2.206227,4.0132752,1,0,1,100,0
NT82,55.54556775,-2.282799583,4.3025671,5,7,12,41.6666667,58.3333333
NT83,55.64353264,-2.266684643,1.4562672,1,47,48,2.0833333,97.9166667
NT84,55.68426347,-2.227468411,5.647118,21,457,478,4.3933054,95.6066946
NT85,55.79040196,-2.223993338,6.1531566,14,178,192,7.2916667,92.7083333
NT86,55.86961723,-2.229977069,12.4429903,16,82,98,16.3265306,83.6734694
NT94,55.7235465,-2.123088333,0.265049,1,7,8,12.5,87.5
NT95,55.76666184,-2.121204394,4.2318325,8,446,454,1.7621145,98.2378855
NT96,55.86082635,-2.121999962,4.2915132,10,56,66,15.1515152,84.8484848
NW95,54.867807,-5.130575,0.9099889,10,1,11,90.9090909,9.0909091
NW96,54.92200421,-5.1391005,3.0914173,13,10,23,56.5217391,43.4782609
NX04,54.7733071,-4.9663479,2.0725565,15,2,17,88.2352941,11.7647059
NX05,54.8731705,-5.076511436,4.1236939,122,11,133,91.7293233,8.2706767
NX06,54.92481879,-5.02800181,6.2477216,128,31,159,80.5031447,19.4968553
NX07,55.03209767,-5.015521778,19.7325386,3,7,10,30,70
NX08,55.09544671,-4.995610429,1.0723756,5,3,8,62.5,37.5
NX13,54.6711075,-4.924758,0.2524859,2,1,3,66.6666667,33.3333333
NX14,54.7453455,-4.9405965,1.1520755,4,0,4,100,0
NX15,54.87760626,-4.878641908,7.5380297,221,57,278,79.4964029,20.5035971
NX16,54.9215866,-4.915798871,11.5113988,259,167,426,60.7981221,39.2018779
NX17,55.02661817,-4.925220167,22.8260168,3,3,6,50,50
NX18,55.13388212,-4.889467362,23.1987944,92,23,115,80,20
NX19,55.2105005,-4.85732725,2.2893955,4,1,5,80,20
NX25,54.8806581,-4.7681085,18.1324144,25,3,28,89.2857143,10.7142857
NX26,54.95088268,-4.699677964,33.6521613,46,1,47,97.8723404,2.1276596
NX27,55.04107475,-4.73544975,61.6249503,19,1,20,95,5
NX28,55.10385709,-4.748679908,55.6039455,68,21,89,76.4044944,23.5955056
NX29,55.20686384,-4.748994518,29.4215184,27,38,65,41.5384615,58.4615385
NX34,54.75816435,-4.555225605,7.3937365,118,105,223,52.9147982,47.0852018
NX35,54.85450942,-4.56316093,21.7631912,62,8,70,88.5714286,11.4285714
NX36,54.95708035,-4.566451368,36.6193472,54,38,92,58.6956522,41.3043478
NX37,55.03924856,-4.550458981,63.2355972,94,23,117,80.3418803,19.6581197
NX38,55.10104256,-4.577304111,79.3928548,21,1,22,95.4545455,4.5454545
NX39,55.20976283,-4.647989167,50.6481585,4,3,7,57.1428571,42.8571429
NX43,54.71010076,-4.4389965,1.8044298,33,23,56,58.9285714,41.0714286
NX44,54.7925492,-4.428250788,9.2775161,47,151,198,23.7373737,76.2626263
NX45,54.87767063,-4.38230604,8.0567881,74,95,169,43.7869822,56.2130178
NX46,54.95704965,-4.461466429,34.3219731,357,47,404,88.3663366,11.6336634
NX47,55.02434867,-4.403588917,46.9662352,13,0,13,100,0
NX48,55.091181,-4.501212,27.043343,4,0,4,100,0
NX49,55.245846,-4.427890654,42.6708638,28,0,28,100,0
NX54,54.81939344,-4.201884056,0.6172768,18,5,23,78.2608696,21.7391304
NX55,54.87495993,-4.217916005,13.4667259,258,278,536,48.1343284,51.8656716
NX56,54.92228513,-4.206370179,43.520934,148,50,198,74.7474747,25.2525253
NX57,55.07252171,-4.284873571,65.1236669,9,1,10,90,10
NX58,55.12351855,-4.211987269,47.2020974,74,97,171,43.2748538,56.7251462
NX59,55.24025923,-4.256686042,32.4636103,57,7,64,89.0625,10.9375
NX64,54.80935973,-4.073866,4.450753,102,2,104,98.0769231,1.9230769
NX65,54.86803936,-4.125198167,14.8247655,356,129,485,73.4020619,26.5979381
NX66,54.98458115,-4.07444563,36.7524113,77,57,134,57.4626866,42.5373134
NX67,55.04934527,-4.100358659,42.4266151,239,174,413,57.8692494,42.1307506
NX68,55.12986748,-4.134441125,31.2398278,218,96,314,69.4267516,30.5732484
NX69,55.19803067,-4.176001133,49.3830336,21,4,25,84,16
NX74,54.80830453,-3.943564533,3.0340986,19,1,20,95,5
NX75,54.87795947,-3.909172125,21.4805214,250,17,267,93.6329588,6.3670412
NX76,54.95699917,-3.962939765,9.1519175,183,34,217,84.3317972,15.6682028
NX77,55.04962774,-3.954908065,37.3213324,163,58,221,73.7556561,26.2443439
NX78,55.16621323,-3.913482549,32.4904708,70,21,91,76.9230769,23.0769231
NX79,55.21303279,-3.92994877,27.7366631,215,249,464,46.3362069,53.6637931
NX84,54.8286405,-3.8384135,1.2748901,2,0,2,100,0
NX85,54.88356648,-3.797565277,26.5408081,1351,117,1468,92.0299728,7.9700272
NX86,54.93855299,-3.818185597,19.9329177,647,20,667,97.0014993,2.9985007
NX87,55.08031924,-3.769619233,13.5702585,114,194,308,37.012987,62.987013
NX88,55.14884589,-3.809403853,20.1279297,376,380,756,49.7354497,50.2645503
NX89,55.24092423,-3.795144712,23.0895707,269,645,914,29.4310722,70.5689278
NX95,54.89693933,-3.661531991,8.2155177,249,85,334,74.5508982,25.4491018
NX96,54.98892373,-3.630502154,41.5021144,127,192,319,39.8119122,60.1880878
NX97,55.05150191,-3.632460619,14.2649637,714,860,1574,45.3621347,54.6378653
NX98,55.14950686,-3.659251476,22.2344366,261,398,659,39.6054628,60.3945372
NX99,55.21948134,-3.699522866,47.2442108,122,142,264,46.2121212,53.7878788
NY06,54.99681552,-3.46760708,6.4980545,68,72,140,48.5714286,51.4285714
NY07,55.06490272,-3.47906982,20.5055663,172,74,246,69.9186992,30.0813008
NY08,55.13948548,-3.499022879,10.657543,450,170,620,72.5806452,27.4193548
NY09,55.22856017,-3.474524133,48.979246,163,132,295,55.2542373,44.7457627
NY16,55.00674588,-3.284752181,6.4188289,113,168,281,40.2135231,59.7864769
NY17,55.05702676,-3.325228972,14.9416044,523,292,815,64.1717791,35.8282209
NY18,55.14889745,-3.354129211,15.6486399,517,200,717,72.1059972,27.8940028
NY19,55.23299152,-3.35268021,33.099596,230,48,278,82.7338129,17.2661871
NY26,55.01008892,-3.201589265,2.4905466,54,123,177,30.5084746,69.4915254
NY27,55.06009776,-3.181349543,13.9138467,468,588,1056,44.3181818,55.6818182
NY28,55.12811825,-3.189628353,34.7224876,35,57,92,38.0434783,61.9565217
NY29,55.22566383,-3.163125013,60.0085374,53,34,87,60.9195402,39.0804598
NY36,55.00600767,-3.0756875,0.2929756,2,5,7,28.5714286,71.4285714
NY37,55.07979528,-2.990975822,9.2332046,25,195,220,11.3636364,88.6363636
NY38,55.17250506,-3.024061964,20.7263595,283,155,438,64.6118721,35.3881279
NY39,55.21457706,-3.038822576,27.8799426,28,17,45,62.2222222,37.7777778
NY47,55.08267703,-2.909290355,4.5237507,14,53,67,20.8955224,79.1044776
NY48,55.16548993,-2.819565333,23.1534334,139,137,276,50.3623188,49.6376812
NY49,55.24030236,-2.830352182,8.1265279,8,6,14,57.1428571,42.8571429
NY58,55.1764785,-2.774349767,22.8869507,43,26,69,62.3188406,37.6811594
NY59,55.24095225,-2.729108852,39.5104989,59,77,136,43.3823529,56.6176471
NY69,55.2524025,-2.6091325,3.3537804,3,0,3,100,0
